geo_latitude,geo_longitude,date,president_name,village,region,total_low,total_high,size,total_deaths,location
,,,,,,,,,,
34.841988,71.49765,"Oct 30, 2006",Bush,"Chenagai, six miles north of Khar",Bajaur,80,82,81.1,80 to 82 deaths,"Chenagai, six miles north of Khar, Bajaur"
32.622604,69.852448,"Jun 23, 2009",Obama,Makeen,South Waziristan,40,80,60.1,40 to 80 deaths,"Makeen, South Waziristan"
32.98793,69.763184,"Mar 17, 2011",Obama,"Datta Khel, 15 miles west of Miram Shah",North Waziristan,45,45,45.1,45 deaths,"Datta Khel, 15 miles west of Miram Shah, North Waziristan"
32.52771,69.863434,"Jul 8, 2009",Obama,Karwan Manza,South Waziristan,17,40,28.6,17 to 40 deaths,"Karwan Manza, South Waziristan"
32.991386,70.291901,"Jun 19, 2007",Bush,"Mami Rogha, 26 miles west of Miram Shah",North Waziristan,20,34,27.1,20 to 34 deaths,"Mami Rogha, 26 miles west of Miram Shah, North Waziristan"
33.091541,70.274734,"Apr 22, 2011",Obama,"Spinwam village, Mir Ali",North Waziristan,23,29,26.1,23 to 29 deaths,"Spinwam village, Mir Ali, North Waziristan"
32.844982,69.56543,"Jan 16, 2007",Bush,"Salamat Keley, Zamazola",South Waziristan,20,30,25.1,20 to 30 deaths,"Salamat Keley, Zamazola, South Waziristan"
33.005211,70.272675,"May 16, 2009",Obama,"Khesoor, 18 miles east of Miram Shah",North Waziristan,10,40,25.1,10 to 40 deaths,"Khesoor, 18 miles east of Miram Shah, North Waziristan"
32.520184,69.868927,"Feb 14, 2009",Obama,"Near Narsikhel, Ladha",South Waziristan,16,30,23.1,16 to 30 deaths,"Near Narsikhel, Ladha, South Waziristan"
33.683212,70.290527,"Feb 16, 2009",Obama,"Sur Pul, near Parachinar",Kurram,15,31,23.1,15 to 31 deaths,"Sur Pul, near Parachinar, Kurram"
33.01442,70.085907,"Sep 8, 2008",Bush,"Danda Darpa Khel, outside Miram Shah",North Waziristan,20,25,22.6,20 to 25 deaths,"Danda Darpa Khel, outside Miram Shah, North Waziristan"
33.620338,70.750351,"Oct 11, 2012",Obama,Bulandkhel,Orakzai,16,26,21.1,16 to 26 deaths,"Bulandkhel, Orakzai"
32.285973,69.988403,"Jul 3, 2009",Obama,"Zamarai Nairai, near Kokat Khel, 28 miles east of Wana",South Waziristan,6,35,20.6,6 to 35 deaths,"Zamarai Nairai, near Kokat Khel, 28 miles east of Wana, South Waziristan"
32.346901,69.498138,"Jun 6, 2011",Obama,"Wana, South Waziristan",South Waziristan,18,23,20.6,18 to 23 deaths,"Wana, South Waziristan, South Waziristan"
33.002907,70.094147,"Aug 10, 2011",Obama,Miram Shah,North Waziristan,18,23,20.6,18 to 23 deaths,"Miram Shah, North Waziristan"
32.552601,69.609375,"Oct 26, 2008",Bush,Shakai region north of Wana,South Waziristan,20,20,20.1,20 deaths,"Shakai region north of Wana, South Waziristan"
34.818878,71.500397,"Oct 24, 2009",Obama,Damadola Bajaur,Khyber Pakhtunkhwa,15,24,19.6,15 to 24 deaths,"Damadola Bajaur, Khyber Pakhtunkhwa"
33.795128,70.768433,"Dec 17, 2010",Obama,"Sippah village, near Spin Drand in the Tirah Valley",Khyber,7,32,19.6,7 to 32 deaths,"Sippah village, near Spin Drand in the Tirah Valley, Khyber"
32.957977,70.379791,"Dec 27, 2010",Obama,"Shera Tala area, near Mir Ali",North Waziristan,18,21,19.6,18 to 21 deaths,"Shera Tala area, near Mir Ali, North Waziristan"
32.932625,69.623108,"Jun 8, 2011",Obama,Zawal Narai area of Shawal Tehsil,North Waziristan,15,23,19.1,15 to 23 deaths,"Zawal Narai area of Shawal Tehsil, North Waziristan"
33.106499,70.053635,"Nov 16, 2010",Obama,"Ghulam Khan, 20 km north of Miram Shah",North Waziristan,16,20,18.1,16 to 20 deaths,"Ghulam Khan, 20 km north of Miram Shah, North Waziristan"
33.808819,70.279541,"Mar 12, 2009",Obama,Barjo,Kurram,11,24,17.6,11 to 24 deaths,"Barjo, Kurram"
33.05949283,69.9176788,"Jul 16, 2014",Obama,Datta Khel,North Waziristan,15,20,17.6,15 to 20 deaths,"Datta Khel, North Waziristan"
32.45068,69.277039,"Jul 24, 2010",Obama,"Dwasarak village, 25 miles west of Wana, near Angoor Adda",South Waziristan,16,18,17.1,16 to 18 deaths,"Dwasarak village, 25 miles west of Wana, near Angoor Adda, South Waziristan"
32.3914,70.1126,"Nov 16, 2011",Obama,Babar Ghar,South Waziristan,12,22,17.1,12 to 22 deaths,"Babar Ghar, South Waziristan"
33.00538611,70.07612225,"Jul 2, 2013",Obama,Sarai Darpa Khel,North Waziristan,16,18,17.1,16 to 18 deaths,"Sarai Darpa Khel, North Waziristan"
33.003483,70.031662,"Aug 21, 2009",Obama,"Darpa Khel, outside Miram Shah",North Waziristan,12,21,16.6,12 to 21 deaths,"Darpa Khel, outside Miram Shah, North Waziristan"
32.989082,69.693146,"Dec 17, 2009",Obama,"Godaivalla, in Datta Khel",North Waziristan,15,18,16.6,15 to 18 deaths,"Godaivalla, in Datta Khel, North Waziristan"
32.997147,69.616241,"Mar 10, 2010",Obama,"Mizar Madakhel, 25-31 miles west of Miram Shah",North Waziristan,12,21,16.6,12 to 21 deaths,"Mizar Madakhel, 25-31 miles west of Miram Shah, North Waziristan"
32.708733,69.559937,"Jun 27, 2011",Obama,Mantoi,South Waziristan,12,21,16.6,12 to 21 deaths,"Mantoi, South Waziristan"
32.659031,70.150452,"Jan 17, 2010",Obama,"Nizba Village, Shaktoi region",South Waziristan,12,20,16.1,12 to 20 deaths,"Nizba Village, Shaktoi region, South Waziristan"
32.9052,69.7488,"Jul 11, 2011",Obama,"Gorwick, Datta Khel Town, 45 km west of Miram Shah",North Waziristan,7,25,16.1,7 to 25 deaths,"Gorwick, Datta Khel Town, 45 km west of Miram Shah, North Waziristan"
32.983898,69.75769,"Jan 6, 2010",Obama,Sanzali area of Datta Khel,North Waziristan,5,25,15.1,5 to 25 deaths,"Sanzali area of Datta Khel, North Waziristan"
33.018452,70.098953,"Sep 3, 2010",Obama,Machis Factory area on outskirts of Miram Shah,North Waziristan,5,25,15.1,5 to 25 deaths,"Machis Factory area on outskirts of Miram Shah, North Waziristan"
32.906975,69.758377,"Jul 6, 2012",Obama,Datta Khel village,North Waziristan,9,21,15.1,9 to 21 deaths,"Datta Khel village, North Waziristan"
34.809856,71.531296,"May 14, 2008",Bush,Damadola,Bajaur,13,16,14.6,13 to 16 deaths,"Damadola, Bajaur"
32.998299,69.723358,"Oct 3, 2008",Bush,"Mohammad Khel, near Datta Khel",North Waziristan,8,21,14.6,8 to 21 deaths,"Mohammad Khel, near Datta Khel, North Waziristan"
32.669147,70.156975,"Jan 14, 2010",Obama,Shaktoi village in the Pasalkot region,North Waziristan,11,18,14.6,11 to 18 deaths,"Shaktoi village in the Pasalkot region, North Waziristan"
32.479645,70.018616,"May 9, 2009",Obama,"Tabbi Langar Khel, near Sarorogha",South Waziristan,8,20,14.1,8 to 20 deaths,"Tabbi Langar Khel, near Sarorogha, South Waziristan"
32.623184,69.841461,"Jul 7, 2009",Obama,"Jangara, Makeen",South Waziristan,12,16,14.1,12 to 16 deaths,"Jangara, Makeen, South Waziristan"
32.995995,69.704819,"May 11, 2010",Obama,"Doga area, Datta Khel",North Waziristan,14,14,14.1,14 deaths,"Doga area, Datta Khel, North Waziristan"
32.316151,69.462433,"Mar 16, 2008",Bush,"Dhook Pir Bagh, near Wana",South Waziristan,7,20,13.6,7 to 20 deaths,"Dhook Pir Bagh, near Wana, South Waziristan"
32.751476,70.072174,"Nov 7, 2008",Bush,"Kumsham, 22 miles south of Miram Shah",North Waziristan,13,14,13.6,13 to 14 deaths,"Kumsham, 22 miles south of Miram Shah, North Waziristan"
32.981022,70.293274,"Jun 19, 2010",Obama,"Sokhel village, 16 miles east of Miram Shah",North Waziristan,11,16,13.6,11 to 16 deaths,"Sokhel village, 16 miles east of Miram Shah, North Waziristan"
33.028816,70.046082,"Aug 23, 2010",Obama,Danday Darpa Khel,North Waziristan,7,20,13.6,7 to 20 deaths,"Danday Darpa Khel, North Waziristan"
34.801682,71.472588,"Jan 6, 2006",Bush,Damadola,Bajaur,8,18,13.1,8 to 18 deaths,"Damadola, Bajaur"
33.672928,70.911255,"Apr 1, 2009",Obama,Khadezai,Orakzai,12,14,13.1,12 to 14 deaths,"Khadezai, Orakzai"
32.984474,69.715805,"Apr 4, 2009",Obama,"Datta Khel, near Miram Shah",North Waziristan,11,15,13.1,11 to 15 deaths,"Datta Khel, near Miram Shah, North Waziristan"
32.990234,70.31868,"Aug 14, 2010",Obama,"Issori, 13 miles east of Miram Shah",North Waziristan,12,14,13.1,12 to 14 deaths,"Issori, 13 miles east of Miram Shah, North Waziristan"
33.756313,70.7547,"Dec 17, 2010",Obama,"Narai Baba, Tirah valley",Khyber,11,15,13.1,11 to 15 deaths,"Narai Baba, Tirah valley, Khyber"
33.1344,70.4512,"Oct 26, 2011",Obama,Bobar,North Waziristan,13,13,13.1,13 deaths,"Bobar, North Waziristan"
33.02613758,69.94514462,"Jul 19, 2014",Obama,Datta Khel,North Waziristan,11,15,13.1,11 to 15 deaths,"Datta Khel, North Waziristan"
32.99398,70.237999,"Jan 29, 2008",Bush,Near Mir Ali,North Waziristan,12,13,12.6,12 to 13 deaths,"Near Mir Ali, North Waziristan"
33.02018,70.029602,"Sep 15, 2010",Obama,"Dargah Mandi, outskirts of Miram Shah",North Waziristan,11,14,12.6,11 to 14 deaths,"Dargah Mandi, outskirts of Miram Shah, North Waziristan"
32.658455,70.179977,"Jan 6, 2013",Obama,Babar Ghar,South Waziristan,8,17,12.6,8 to 17 deaths,"Babar Ghar, South Waziristan"
33.004059,70.074921,"Sep 12, 2008",Bush,Tol Khel on the outskirts of Miram Shah,North Waziristan,12,12,12.1,12 deaths,"Tol Khel on the outskirts of Miram Shah, North Waziristan"
32.707577,69.873047,"Nov 14, 2008",Bush,Garyom,North Waziristan,11,13,12.1,11 to 13 deaths,"Garyom, North Waziristan"
32.524239,69.794769,"Aug 11, 2009",Obama,"Kani Guram, four miles from Ladha",South Waziristan,10,14,12.1,10 to 14 deaths,"Kani Guram, four miles from Ladha, South Waziristan"
33.6920485,70.0474217,"Oct 16, 2017",Trump,Maqbal,Kurram Agency,4,20,12.1,4 to 20 deaths,"Maqbal, Kurram Agency"
32.9767,70.269241,"Oct 31, 2008",Bush,Mir Ali,North Waziristan,8,15,11.6,8 to 15 deaths,"Mir Ali, North Waziristan"
33.012695,69.761124,"May 6, 2011",Obama,Datta Khel,North Waziristan,5,18,11.6,5 to 18 deaths,"Datta Khel, North Waziristan"
32.6138,69.5082,"Jul 12, 2011",Obama,"Bray Nishtar, Shawal area",North Waziristan,8,15,11.6,8 to 15 deaths,"Bray Nishtar, Shawal area, North Waziristan"
32.715954,69.610062,"Jul 23, 2012",Obama,Shawal,North Waziristan,9,14,11.6,9 to 14 deaths,"Shawal, North Waziristan"
33.017876,70.254822,"Feb 16, 2012",Obama,Mir Ali,North Waziristan,7,15,11.1,7 to 15 deaths,"Mir Ali, North Waziristan"
32.308025,69.409561,"Feb 28, 2008",Bush,Azam Warzak,South Waziristan,8,13,10.6,8 to 13 deaths,"Azam Warzak, South Waziristan"
32.311508,69.320984,"Aug 12, 2008",Bush,"Bhagar, 22 miles west of Wana",South Waziristan,9,12,10.6,9 to 12 deaths,"Bhagar, 22 miles west of Wana, South Waziristan"
32.989082,69.716492,"May 21, 2010",Obama,Asadabad village of Muhammad Khel area of Datta Khel,North Waziristan,9,12,10.6,9 to 12 deaths,"Asadabad village of Muhammad Khel area of Datta Khel, North Waziristan"
32.995419,69.77211,"Jul 15, 2010",Obama,"Sheerani, Mada Khel",North Waziristan,7,14,10.6,7 to 14 deaths,"Sheerani, Mada Khel, North Waziristan"
32.79882,69.507751,"Mar 9, 2012",Obama,Makin,South Waziristan,8,13,10.6,8 to 13 deaths,"Makin, South Waziristan"
32.97411,70.279541,"Jun 4, 2012",Obama,Hassokhel,North Waziristan,6,15,10.6,6 to 15 deaths,"Hassokhel, North Waziristan"
32.270878,69.589462,"Jan 23, 2009",Obama,"Dilfaraz or Ghangi Khel, near Wana",South Waziristan,10,10,10.1,10 deaths,"Dilfaraz or Ghangi Khel, near Wana, South Waziristan"
33.001755,69.713058,"Jan 29, 2010",Obama,"Muhammad Khel, Datta Khel",North Waziristan,5,15,10.1,5 to 15 deaths,"Muhammad Khel, Datta Khel, North Waziristan"
33.881817,70.85907,"May 15, 2010",Obama,"Ragha area, Tirah Valley",Khyber,5,15,10.1,5 to 15 deaths,"Ragha area, Tirah Valley, Khyber"
32.292938,69.304504,"May 28, 2010",Obama,"Mizai Nari, 38 km west of Wana",South Waziristan,8,12,10.1,8 to 12 deaths,"Mizai Nari, 38 km west of Wana, South Waziristan"
33.027664,70.017242,"Sep 8, 2010",Obama,Danday Darpakhel,North Waziristan,10,10,10.1,10 deaths,"Danday Darpakhel, North Waziristan"
33.016724,69.906006,"Dec 28, 2010",Obama,"Nawab village, in Ghulam Khan area",North Waziristan,10,10,10.1,10 deaths,"Nawab village, in Ghulam Khan area, North Waziristan"
33.527657,70.285034,"Jun 20, 2011",Obama,Khardand,Kurram,7,13,10.1,7 to 13 deaths,"Khardand, Kurram"
32.99736246,70.07629391,"Jun 12, 2014",Obama,Miramshah,North Waziristan,10,10,10.1,10 deaths,"Miramshah, North Waziristan"
32.29874,69.54071,"Oct 31, 2008",Bush,Wana,South Waziristan,7,12,9.6,7 to 12 deaths,"Wana, South Waziristan"
32.9538,70.262459,"Jan 23, 2009",Obama,"Zharki (Zera), near Mir Ali",North Waziristan,9,10,9.6,9 to 10 deaths,"Zharki (Zera), near Mir Ali, North Waziristan"
32.49065,70.004883,"Mar 1, 2009",Obama,"Sararogha, near Wana",South Waziristan,7,12,9.6,7 to 12 deaths,"Sararogha, near Wana, South Waziristan"
33.046082,70.019989,"Sep 8, 2009",Obama,"Dargamandi village, 3 miles northwest of Miram Shah",North Waziristan,9,10,9.6,9 to 10 deaths,"Dargamandi village, 3 miles northwest of Miram Shah, North Waziristan"
32.991386,69.742584,"Mar 16, 2010",Obama,"Datta Khel, 12 miles west of Miram Shah",North Waziristan,8,11,9.6,8 to 11 deaths,"Datta Khel, 12 miles west of Miram Shah, North Waziristan"
33.021908,69.656754,"Sep 14, 2010",Obama,"Bushnarai village, Shawal",North Waziristan,7,12,9.6,7 to 12 deaths,"Bushnarai village, Shawal, North Waziristan"
33.052414,70.19165,"Feb 8, 2012",Obama,Spalga,North Waziristan,9,10,9.6,9 to 10 deaths,"Spalga, North Waziristan"
32.298161,69.349136,"May 12, 2009",Obama,"Sara Khwara, 25 km west of Wana",South Waziristan,8,10,9.1,8 to 10 deaths,"Sara Khwara, 25 km west of Wana, South Waziristan"
32.821903,69.979477,"Dec 17, 2009",Obama,Deegan village,North Waziristan,4,14,9.1,4 to 14 deaths,"Deegan village, North Waziristan"
33.042629,70.061188,"Feb 24, 2010",Obama,"Dargi Mandi, 2.5 miles north of Miram Shah",North Waziristan,4,14,9.1,4 to 14 deaths,"Dargi Mandi, 2.5 miles north of Miram Shah, North Waziristan"
33.024784,69.823608,"Apr 12, 2010",Obama,"Boya village, 12 miles west of Miram Shah",North Waziristan,5,13,9.1,5 to 13 deaths,"Boya village, 12 miles west of Miram Shah, North Waziristan"
32.66597,70.161438,"Jul 25, 2010",Obama,Shaktoi village in the Pasalkot region,South Waziristan,4,14,9.1,4 to 14 deaths,"Shaktoi village in the Pasalkot region, South Waziristan"
32.6238,69.4968,"Jul 12, 2011",Obama,"Malik Shahi village, Dremala/Bermal Tehsil, Shawal, near the border with North Waziristan and Paktika,",South Waziristan,5,13,9.1,5 to 13 deaths,"Malik Shahi village, Dremala/Bermal Tehsil, Shawal, near the border with North Waziristan and Paktika,, South Waziristan"
32.963451,70.31044,"Aug 22, 2011",Obama,"Norak, near Mir Ali",North Waziristan,7,11,9.1,7 to 11 deaths,"Norak, near Mir Ali, North Waziristan"
32.884201,69.598389,"May 5, 2012",Obama,Shawal,North Waziristan,8,10,9.1,8 to 10 deaths,"Shawal, North Waziristan"
33.1440818,70.0212442,"Apr 26, 2017",Trump,Lawara Mandi,North Waziristan,7,11,9.1,7 to 11 deaths,"Lawara Mandi, North Waziristan"
33.046658,69.539337,"Sep 5, 2008",Bush,Gurwak,North Waziristan,5,12,8.6,5 to 12 deaths,"Gurwak, North Waziristan"
33.07716,70.069427,"Dec 26, 2009",Obama,"Babar Raghzai area of the Saidgi village, 4 miles north of Miram Shah",North Waziristan,3,14,8.6,3 to 14 deaths,"Babar Raghzai area of the Saidgi village, 4 miles north of Miram Shah, North Waziristan"
32.963161,70.241776,"Feb 14, 2010",Obama,Mir Ali,North Waziristan,8,9,8.6,8 to 9 deaths,"Mir Ali, North Waziristan"
32.994267,69.558563,"May 11, 2010",Obama,"Gorwek, near Afghan border",North Waziristan,7,10,8.6,7 to 10 deaths,"Gorwek, near Afghan border, North Waziristan"
32.997147,69.656754,"Jun 11, 2010",Obama,"Datta Khel, 12 miles west of Miram Shah",North Waziristan,8,9,8.6,8 to 9 deaths,"Datta Khel, 12 miles west of Miram Shah, North Waziristan"
33.070827,69.701385,"Sep 20, 2010",Obama,"Darazinda village, 25 miles northeast of Miram Shah",North Waziristan,8,9,8.6,8 to 9 deaths,"Darazinda village, 25 miles northeast of Miram Shah, North Waziristan"
32.990234,69.631348,"Oct 2, 2010",Obama,"Inzarkas village, Datta Khel",North Waziristan,8,9,8.6,8 to 9 deaths,"Inzarkas village, Datta Khel, North Waziristan"
32.981022,70.256882,"Oct 4, 2010",Obama,Mir Ali,North Waziristan,5,12,8.6,5 to 12 deaths,"Mir Ali, North Waziristan"
33.05817,70.080414,"Nov 7, 2010",Obama,"Ghulam Khan, north of Miram Shah",North Waziristan,8,9,8.6,8 to 9 deaths,"Ghulam Khan, north of Miram Shah, North Waziristan"
32.168636,69.576416,"Jun 3, 2011",Obama,"Laman, in Ghwa Khwa and Karikot area, 20km south of Wana",South Waziristan,5,12,8.6,5 to 12 deaths,"Laman, in Ghwa Khwa and Karikot area, 20km south of Wana, South Waziristan"
32.713356,69.608688,"Aug 18, 2012",Obama,Shwedar,North Waziristan,5,12,8.6,5 to 12 deaths,"Shwedar, North Waziristan"
32.49007,69.320297,"Jan 2, 2013",Obama,Angoor Adda,South Waziristan,6,11,8.6,6 to 11 deaths,"Angoor Adda, South Waziristan"
33.010391,70.043335,"Nov 5, 2005",Bush,Haisori,North Waziristan,8,8,8.1,8 deaths,"Haisori, North Waziristan"
32.52771,69.855881,"Jul 8, 2009",Obama,"Laddha, Karwan Manza",South Waziristan,6,10,8.1,6 to 10 deaths,"Laddha, Karwan Manza, South Waziristan"
33.002331,70.290527,"Nov 20, 2009",Obama,Palooseen Village in Mir Ali,North Waziristan,8,8,8.1,8 deaths,"Palooseen Village in Mir Ali, North Waziristan"
32.997147,69.672546,"May 9, 2010",Obama,"Inzarkas village, Datta Khel",North Waziristan,6,10,8.1,6 to 10 deaths,"Inzarkas village, Datta Khel, North Waziristan"
32.234295,69.530411,"Jun 29, 2010",Obama,"Lamal village, near Karikot, 6 miles SW of Wana",South Waziristan,6,10,8.1,6 to 10 deaths,"Lamal village, near Karikot, 6 miles SW of Wana, South Waziristan"
32.98793,69.640961,"Oct 2, 2010",Obama,"Asar village, Datta Khel",North Waziristan,6,10,8.1,6 to 10 deaths,"Asar village, Datta Khel, North Waziristan"
33.02824,70.239716,"Jan 1, 2011",Obama,"Mandi Khel, near Mir Ali",North Waziristan,7,9,8.1,7 to 9 deaths,"Mandi Khel, near Mir Ali, North Waziristan"
32.65065,70.185471,"Feb 8, 2013",Obama,Babar Ghar,South Waziristan,7,9,8.1,7 to 9 deaths,"Babar Ghar, South Waziristan"
32.09064163,69.45831295,"Oct 6, 2014",Obama,Shawal,North Waziristan,8,8,8.1,8 deaths,"Shawal, North Waziristan"
33.00005289,69.92935177,"Dec 26, 2014",Obama,Shawal Valley,North Waziristan,7,9,8.1,7 to 9 deaths,"Shawal Valley, North Waziristan"
32.6169196,69.4999301,"Jun 6, 2015",Obama,Shawal,North Waziristan,7,9,8.1,7 to 9 deaths,"Shawal, North Waziristan"
32.301064,69.598389,"Aug 20, 2008",Bush,Wana,South Waziristan,5,10,7.6,5 to 10 deaths,"Wana, South Waziristan"
32.994843,70.167618,"Oct 9, 2008",Bush,"Tati, near Miram Shah",North Waziristan,6,9,7.6,6 to 9 deaths,"Tati, near Miram Shah, North Waziristan"
32.97123,70.245895,"Sep 24, 2009",Obama,Near Mir Ali,North Waziristan,3,12,7.6,3 to 12 deaths,"Near Mir Ali, North Waziristan"
32.978718,70.327606,"Apr 24, 2010",Obama,"Machi Khel, 12 miles east of Miram Shah",North Waziristan,7,8,7.6,7 to 8 deaths,"Machi Khel, 12 miles east of Miram Shah, North Waziristan"
32.99081,70.304604,"Oct 10, 2010",Obama,"Spin Wam refugee camp, outside Mir Ali",North Waziristan,7,8,7.6,7 to 8 deaths,"Spin Wam refugee camp, outside Mir Ali, North Waziristan"
32.994843,69.726791,"Oct 28, 2010",Obama,"Ismail Khel, in Datta Khel",North Waziristan,4,11,7.6,4 to 11 deaths,"Ismail Khel, in Datta Khel, North Waziristan"
32.6272,69.4453,"Jun 27, 2011",Obama,Bray Nishtar,South Waziristan,3,12,7.6,3 to 12 deaths,"Bray Nishtar, South Waziristan"
33.036297,70.268555,"May 24, 2012",Obama,Mir Ali,North Waziristan,5,10,7.6,5 to 10 deaths,"Mir Ali, North Waziristan"
32.306866,69.446465,"Jun 3, 2012",Obama,Wacha Dana,South Waziristan,5,10,7.6,5 to 10 deaths,"Wacha Dana, South Waziristan"
33.04090313,69.98291012,"Sep 24, 2014",Obama,Datta Khel,North Waziristan,5,10,7.6,5 to 10 deaths,"Datta Khel, North Waziristan"
32.307446,69.56543,"Jun 19, 2004",Bush,Wana,South Waziristan,7,7,7.1,7 deaths,"Wana, South Waziristan"
32.992538,70.098953,"Nov 2, 2007",Bush,Outside Miram Shah,North Waziristan,5,9,7.1,5 to 9 deaths,"Outside Miram Shah, North Waziristan"
33.01442,70.061188,"Aug 31, 2008",Bush,"Tappi, Miram Shah",North Waziristan,6,8,7.1,6 to 8 deaths,"Tappi, Miram Shah, North Waziristan"
33.023632,70.074577,"Oct 23, 2008",Bush,"Danda Darpa Khel, outside Miram Shah",North Waziristan,4,10,7.1,4 to 10 deaths,"Danda Darpa Khel, outside Miram Shah, North Waziristan"
32.616241,69.848328,"Mar 25, 2009",Obama,Makeen,South Waziristan,7,7,7.1,7 deaths,"Makeen, South Waziristan"
32.582691,69.849014,"Aug 5, 2009",Obama,Zangra village of Ladha,South Waziristan,2,12,7.1,2 to 12 deaths,"Zangra village of Ladha, South Waziristan"
32.989082,70.328293,"Sep 30, 2009",Obama,"Norak, 12 miles east of Miram Shah",North Waziristan,5,9,7.1,5 to 9 deaths,"Norak, 12 miles east of Miram Shah, North Waziristan"
32.992538,69.654007,"Oct 13, 2010",Obama,"Inzarkas village, Datta Khel",North Waziristan,3,11,7.1,3 to 11 deaths,"Inzarkas village, Datta Khel, North Waziristan"
